Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /webhook/shopee [odoo_down],41,0,22,29.847173756180137,11.423167001339607,100.96483300003456,15.0,0.6999007900653313,0.0,22,27,38,43,52,67,100,100,100,100,100
,Aggregated,41,0,22,29.847173756180137,11.423167001339607,100.96483300003456,15.0,0.6999007900653313,0.0,22,27,38,43,52,67,100,100,100,100,100
