Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /webhook/shopee [logistics],119,0,12,13.439588924293199,7.538541998656001,93.38125000067521,15.0,1.0177346441763109,0.0,12,13,14,14,16,18,21,57,93,93,93
POST,POST /webhook/shopee [order],457,0,12,14.348775161749554,5.820833997859154,141.98100000066916,15.0,3.908443129315748,0.0,12,13,14,14,17,20,63,98,140,140,140
,Aggregated,576,0,12,14.160939810608397,5.820833997859154,141.98100000066916,15.0,4.926177773492059,0.0,12,13,14,14,16,19,57,94,140,140,140
