Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /webhook/shopee [redis_restart],423,1,13,14.61640040675865,7.160790999478195,84.05016599863302,15.01418439716312,4.738728584366185,0.01120266804814701,13,14,15,16,19,24,37,44,84,84,84
,Aggregated,423,1,13,14.61640040675865,7.160790999478195,84.05016599863302,15.01418439716312,4.738728584366185,0.01120266804814701,13,14,15,16,19,24,37,44,84,84,84
