Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /webhook/shopee [burst],4820,0,360,561.8765536623495,60.754458005249035,13870.338624998112,15.009958506224066,81.3186210130434,0.0,360,460,570,620,880,1300,2100,3300,13000,14000,14000
,Aggregated,4820,0,360,561.8765536623495,60.754458005249035,13870.338624998112,15.009958506224066,81.3186210130434,0.0,360,460,570,620,880,1300,2100,3300,13000,14000,14000
