Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /webhook/shopee [logistics],104,0,17,44.946094163396296,5.652374995406717,924.8405830003321,15.0,0.8761678606997126,0.0,18,26,34,46,91,120,190,630,920,920,920
POST,POST /webhook/shopee [order],469,0,16,40.69875275480935,5.91770900064148,976.8900839990238,15.0,3.951180064116973,0.0,16,24,32,40,70,100,330,590,980,980,980
,Aggregated,573,0,16,41.46964892669948,5.652374995406717,976.8900839990238,15.0,4.827347924816686,0.0,16,25,33,42,72,110,330,630,980,980,980
